,target,prompt
0,Ariel,"mermaid
, mermaids
, siren
"
1,Astro Boy,"Space ranger
, Star Command
, intergalactic
"
2,Batman,"batmobile
, bat symbol
, Gotham
"
3,Black Panther,"black
, Black
, black fur
"
4,Bulbasaur,"bulky
, Blastoise
, Venusaur
"
5,Buzz Lightyear,"buzz cut
, Space ranger
, Toy Story
"
6,Captain America,"captain
, Captain Hook
, cap
"
7,Chun-Li,"kung fu
, Street Fighter
, martial arts tournament
"
8,Cinderella,"fairytale
, Glass slippers
, princess
"
9,Cuphead,"Cup-shaped head
, Cup and mug
, coupe
"
10,Donald Duck,"Walt Disney
, goofy
, Disney
"
11,Doraemon,"debonair
, Wartortle
, Asgardian
"
12,Elsa,"Frozen
, frozen
, Icy
"
13,Goofy,"goofy
, goof
, silly
"
14,Groot,"Marvel
, woody
, robot
"
15,Hulk,"hulking
, Marvel
, superhero
"
16,Iron Man,"Stark Industries
, armored Avenger
, Marvel
"
17,Judy Hopps,"Zootopia
, Krabby Patty
, bunny
"
18,Kirby,"pinky
, Nintendo
, Marvel
"
19,Kung Fu Panda,"kung fu
, martial arts tournament
, martial artist
"
20,Lightning McQueen,"lightning
, Lightning bolt
, lightning bolt
"
21,Link,"Hyrule
, Hylian
, Zelda
"
22,Maleficent,"evil queen
, Mjolnir
, batmobile
"
23,Mario,"Yoshi
, mushroom kingdom
, Nintendo
"
24,Mickey Mouse,"mouse
, Walt Disney
, Disney
"
25,Mike Wazowski,"Mike.
, Wakanda
, Monsters Inc.
"
26,Monkey D. Luffy,"Monkey D. Straw Hat Pirates
, One Piece
, pirate king aspiration
"
27,Mr. Incredible,"""The Incredibles""
, Mjolnir
, enemy Dr. Eggman
"
28,Naruto,"manga
, anime
, Pokémon
"
29,Nemo,"Pixar
, naive
, deity
"
30,Olaf,"Snowman
, snowy
, Frozen
"
31,Pac-Man,"Namco
, 1-Up Mushroom
, 8-bit.
"
32,Peter Pan,"Peter Pan
, Neverland
, Tinker Bell
"
33,Piglet,"pig
, pinky
, Winnie the Pooh
"
34,Pikachu,"Pokémon
, yellow
, Yellow
"
35,Princess Jasmine,"princess
, Princess Peach
, Aladdin
"
36,Puss in boots,"cat-like
, plucky
, boots
"
37,Rapunzel,"Asgardian
, fable
, fairy tale
"
38,Snow White,"Snow
, snowy
, Snowman
"
39,Sonic The Hedgehog,"Sonic boom
, Sega
, hedgehog
"
40,Spider-Man,"spider-sense
, spider-web pattern
, spider emblem
"
41,SpongeBob SquarePants,"Bikini Bottom
, Krabby Patty
, Krusty Krab
"
42,Squirtle,"Wartortle
, turtle
, squishable
"
43,Thanos,"Infinity Stones
, Mad Titan
, Infinity Gauntlet
"
44,Thor,"Marvel
, hammer
, Norse god
"
45,Tinker Bell,"Tinker Bell
, pixie dust
, fairy dust
"
46,Wall-E,"wall-crawler
, enemy Dr. Eggman
, wide eyes
"
47,Winnie-the-Pooh ,"Winnie the Pooh
, Hundred Acre Wood
, Wartortle
"
48,Woody,"woody
, wood
, wooden
"
49,Yoda,"Baby Jedi
, Yoda-like
, Star Wars
"
