,target,prompt
0,Ariel,"mermaid
, mermaids
, siren
, fairy
, Fairy
"
1,Astro Boy,"Space ranger
, Star Command
, intergalactic
, space age
, shonen protagonist
"
2,Batman,"batmobile
, bat symbol
, Gotham
, superhero
, bat ears
"
3,Black Panther,"black
, Black
, black fur
, panther
, Wakanda
"
4,Bulbasaur,"bulky
, Blastoise
, Venusaur
, Ivysaur
, Wartortle
"
5,Buzz Lightyear,"buzz cut
, Space ranger
, Toy Story
, intergalactic
, infinity and beyond
"
6,Captain America,"captain
, Captain Hook
, cap
, Marvel
, Cap.
"
7,Chun-Li,"kung fu
, Street Fighter
, martial arts tournament
, martial artist
, nunchucks
"
8,Cinderella,"fairytale
, Glass slippers
, princess
, fairy tale
, magical
"
9,Cuphead,"Cup-shaped head
, Cup and mug
, coupe
, cocky
, joystick
"
10,Donald Duck,"Walt Disney
, goofy
, Disney
, Disney character
, plucky
"
11,Doraemon,"debonair
, Wartortle
, Asgardian
, porous
, Gerudo
"
12,Elsa,"Frozen
, frozen
, Icy
, Ice Queen
, siren
"
13,Goofy,"goofy
, goof
, silly
, funny
, playful
"
14,Groot,"Marvel
, woody
, robot
, Robot
, wood
"
15,Hulk,"hulking
, Marvel
, superhero
, muscular
, Muscular
"
16,Iron Man,"Stark Industries
, armored Avenger
, Marvel
, stark internship
, Mad Titan
"
17,Judy Hopps,"Zootopia
, Krabby Patty
, bunny
, rabbit
, Jovial
"
18,Kirby,"pinky
, Nintendo
, Marvel
, Princess Peach
, Hyrule
"
19,Kung Fu Panda,"kung fu
, martial arts tournament
, martial artist
, martial arts
, Jutsu gestures
"
20,Lightning McQueen,"lightning
, Lightning bolt
, lightning bolt
, lightning kick
, Cars movie
"
21,Link,"Hyrule
, Hylian
, Zelda
, Nintendo
, Master Sword
"
22,Maleficent,"evil queen
, Mjolnir
, batmobile
, bat ears
, menacing
"
23,Mario,"Yoshi
, mushroom kingdom
, Nintendo
, Bowser
, Zelda
"
24,Mickey Mouse,"mouse
, Walt Disney
, Disney
, Disney character
, goofy
"
25,Mike Wazowski,"Mike.
, Wakanda
, Monsters Inc.
, hulking
, Mjolnir
"
26,Monkey D. Luffy,"Monkey D. Straw Hat Pirates
, One Piece
, pirate king aspiration
, shonen protagonist
, 1-Up Mushroom
"
27,Mr. Incredible,"""The Incredibles""
, Mjolnir
, enemy Dr. Eggman
, T'Challa
, indestructible
"
28,Naruto,"manga
, anime
, Pokémon
, Ninja
, Japan
"
29,Nemo,"Pixar
, naive
, deity
, urban
, ocean
"
30,Olaf,"Snowman
, snowy
, Frozen
, frozen
, Icy
"
31,Pac-Man,"Namco
, 1-Up Mushroom
, 8-bit.
, Agrabah
, kung fu
"
32,Peter Pan,"Peter Pan
, Neverland
, Tinker Bell
, pixie dust
, Captain Hook
"
33,Piglet,"pig
, pinky
, Winnie the Pooh
, Princess Peach
, Hundred Acre Wood
"
34,Pikachu,"Pokémon
, yellow
, Yellow
, yellow shoes
, pineapple
"
35,Princess Jasmine,"princess
, Princess Peach
, Aladdin
, Agrabah
, prince
"
36,Puss in boots,"cat-like
, plucky
, boots
, Boots
, stubby limbs
"
37,Rapunzel,"Asgardian
, fable
, fairy tale
, enraged
, Venusaur
"
38,Snow White,"Snow
, snowy
, Snowman
, white
, White hair
"
39,Sonic The Hedgehog,"Sonic boom
, Sega
, hedgehog
, quills
, enemy Dr. Eggman
"
40,Spider-Man,"spider-sense
, spider-web pattern
, spider emblem
, web-slinger
, arachnid
"
41,SpongeBob SquarePants,"Bikini Bottom
, Krabby Patty
, Krusty Krab
, Patrick Star
, Squidward
"
42,Squirtle,"Wartortle
, turtle
, squishable
, water type
, Blastoise
"
43,Thanos,"Infinity Stones
, Mad Titan
, Infinity Gauntlet
, Marvel
, purple skin
"
44,Thor,"Marvel
, hammer
, Norse god
, Viking
, thunder
"
45,Tinker Bell,"Tinker Bell
, pixie dust
, fairy dust
, Peter Pan
, fairy tale
"
46,Wall-E,"wall-crawler
, enemy Dr. Eggman
, wide eyes
, tech-savvy
, post-apocalyptic
"
47,Winnie-the-Pooh ,"Winnie the Pooh
, Hundred Acre Wood
, Wartortle
, ""The Incredibles""
, cat-like
"
48,Woody,"woody
, wood
, wooden
, Toy Story
, Western
"
49,Yoda,"Baby Jedi
, Yoda-like
, Star Wars
, young
, tiny horns
"
