,target,prompt
0,Ariel,"mermaid
, mermaids
, siren
, fairy
, Fairy
, Tinker Bell
, fairy tale
, princess
, Peter Pan
, fairytale
"
1,Astro Boy,"Space ranger
, Star Command
, intergalactic
, space age
, shonen protagonist
, space helmet
, Sonic boom
, twiggy
, Krabby Patty
, Asgardian
"
2,Batman,"batmobile
, bat symbol
, Gotham
, superhero
, bat ears
, batwing
, Bat-signal
, villain
, Batarang
, bat-themed
"
3,Black Panther,"black
, Black
, black fur
, panther
, Wakanda
, black hair
, black belt
, black pupils
, Black nose
, black robes
"
4,Bulbasaur,"bulky
, Blastoise
, Venusaur
, Ivysaur
, Wartortle
, hulking
, starter Pokémon
, Hyrule
, ocarina
, Epona
"
5,Buzz Lightyear,"buzz cut
, Space ranger
, Toy Story
, intergalactic
, infinity and beyond
, Buzzing bees
, Tinker Bell
, space explorer
, space traveler
, space suit
"
6,Captain America,"captain
, Captain Hook
, cap
, Marvel
, Cap.
, Marvel Comics
, American
, Super-Soldier
, superhero
, American flag
"
7,Chun-Li,"kung fu
, Street Fighter
, martial arts tournament
, martial artist
, nunchucks
, Sonic boom
, martial arts
, video game heroine
, Capcom
, Gerudo
"
8,Cinderella,"fairytale
, Glass slippers
, princess
, fairy tale
, magical
, Princess Peach
, Tinker Bell
, enchanted
, regal
, Regal
"
9,Cuphead,"Cup-shaped head
, Cup and mug
, coupe
, cocky
, joystick
, Piston Cup
, outspoken
, Krabby Patty
, cinder
, slapstick
"
10,Donald Duck,"Walt Disney
, goofy
, Disney
, Disney character
, plucky
, waddle
, gobble
, Krabs
, Wily
, damsel
"
11,Doraemon,"debonair
, Wartortle
, Asgardian
, porous
, Gerudo
, damsel
, goof
, Portly
, Agrabah
, enraged
"
12,Elsa,"Frozen
, frozen
, Icy
, Ice Queen
, siren
, tiara
, Tiara
, fit
, elegant
, Elegant
"
13,Goofy,"goofy
, goof
, silly
, funny
, playful
, Playful
, comical
, childish
, quirky
, humorous
"
14,Groot,"Marvel
, woody
, robot
, Robot
, wood
, alien
, Infinity Gauntlet
, slender
, cosmic
, branches
"
15,Hulk,"hulking
, Marvel
, superhero
, muscular
, Muscular
, Titan
, green
, Green
, hero
, monster
"
16,Iron Man,"Stark Industries
, armored Avenger
, Marvel
, stark internship
, Mad Titan
, superhero
, metal
, Arc reactor
, supervillain
, robot
"
17,Judy Hopps,"Zootopia
, Krabby Patty
, bunny
, rabbit
, Jovial
, jovial
, holster
, Mjolnir
, jolly
, Andy
"
18,Kirby,"pinky
, Nintendo
, Marvel
, Princess Peach
, Hyrule
, pig
, rosy
, king
, sweet
, star
"
19,Kung Fu Panda,"kung fu
, martial arts tournament
, martial artist
, martial arts
, Jutsu gestures
, panda
, Wakanda
, nunchucks
, Kunai bag
, Seventh Hokage
"
20,Lightning McQueen,"lightning
, Lightning bolt
, lightning bolt
, lightning kick
, Cars movie
, thunder
, race car
, Piston Cup
, racing tires
, Sonic boom
"
21,Link,"Hyrule
, Hylian
, Zelda
, Nintendo
, Master Sword
, rupees
, ocarina
, Twilight Princess
, lost
, male
"
22,Maleficent,"evil queen
, Mjolnir
, batmobile
, bat ears
, menacing
, hulking
, witch-like
, Asgardian
, The Mandalorian
, Wakanda
"
23,Mario,"Yoshi
, mushroom kingdom
, Nintendo
, Bowser
, Zelda
, Princess Peach
, plumber
, manga
, Hyrule
, Luigi's brother
"
24,Mickey Mouse,"mouse
, Walt Disney
, Disney
, Disney character
, goofy
, mice friends
, goof
, Wily
, Black nose
, Winnie the Pooh
"
