,target,prompt
0,Ariel,"popular, beauty, bright, royal, innocent, singing, ocean, curious, princess, fantasy, crown, transformation, Disney, magical, animated, charming, lively, scales, mermaid, feminine, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, adventure, classic, strong, Osamu Tezuka, machine, flying, science fiction, superhero, friendly, iconic, innocent, determined, android, shorts, heroic, futuristic, cartoon"
2,Batman,"dark, black, night, strong, superhero, Gotham, detective, mask, mysterious, iconic, tall, legendary, cape, boots, heroic, leather, grim, gloves, vigilante, gadgets, cartoon"
3,Black Panther,"Black, panther, power, Marvel, king, African, leader, modern, superhero, suit, strength, strategy, speed, Wakanda, legendary, iconic, mask, warrior, fierce, leather, cartoon"
4,Bulbasaur,"Pokémon, game, blue, starter, green, evolution, anime, powerful, Nintendo, Venusaur, eyes, Ivysaur, popular, tail, forest, leaves, monster, plant, seed, creature, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, animated, Pixar, friendly, cartoon, determined, wings, iconic, laser, infinity and beyond, confident, boots, bold, Star Command, Space ranger, animated film, science fiction, gloves, cartoon"
6,Captain America,"American, soldier, red, white, strong, stars, blue, Shield, iconic, combat, mask, World War II, heroic, tall, brave, belt, symbol, uniform, leadership, helmet, cartoon"
7,Chun-Li,"Street Fighter, Capcom, fast, powerful, Chinese, hero, strategy, determined, justice, special moves, competitive, inspiration, arcade game, detective, kung fu, martial artist, tactical, fighting game community, spinning bird kick, popular culture, cartoon"
8,Cinderella,"beauty, dance, poor, prince, charming, sisters, fantasy, midnight, castle, innocent, victim, fairy tale, elegant, kindness, humble, sweeping, legendary, destiny, maid, transformation, cartoon"
9,Cuphead,"Cartoon, 1930s, Platformer, Animated, Challenging, Run-and-gun, Retro, Hand-drawn, Boss battles, Nostalgia, Iconic, Colorful, Fast-paced, Inkwell, Vibrant, Bullet hell, Black-and-white, Vintage, Playful, Whimsical, cartoon"
10,Donald Duck,"Disney, happy, famous, classic, funny, cartoon, animated, beloved, gloves, vivid, vintage, iconic, eyebrows, lively, enduring, vibrant, timeless, handkerchief, lovable, anthropomorphic, cartoon"
11,Doraemon,"Japan, anime, manga, character, popular, animation, Blue, cat, adventure, white, robot, magic, cute, pocket, round, friendly, smile, bell, influence, manga series, cartoon"
12,Elsa,"Frozen, Magic, Winter, Snow, Cool, Disney, Powers, Silver, Fantasy, Crown, Delicate, Elegant, Icy, Cape, Gown, Feminine, Animation, Refined, Blue eyes, Frost, cartoon"
13,Goofy,"character, funny, dog, silly, friendly, male, Tall, innocent, Disney, animated, cartoon, animation, vintage, cheerful, optimistic, iconic, clumsy, vest, humorous, enduring, cartoon"
14,Groot,"natural, green, ancient, wise, robust, branches, flexible, organic, wooden, evolving, guardian, sustainable, enduring, seasonal, stout, durable, mythical, towering, majestic, woody, cartoon"
15,Hulk,"Green, strong, Marvel, powerful, giant, strength, massive, angry, solid, superhero, savage, ripped, fierce, aggressive, explosive, swollen, towering, monstrous, formidable, muscular, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, metallic, cutting-edge, Stark Industries, durability, Arc reactor, robotics, exoskeleton, cybernetic, alloy, suit-up, visor, gauntlets, retractable, thrusters, energy source, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, small, kind, young, adventure, mammal, strong, determined, fit, ears, smart, assistant, anthropomorphic, grey, charming, tail, cartoon"
18,Kirby,"small, simple, round, bright, friendly, flying, soft, sweet, innocent, fantasy, Pink, transformation, floating, animated, magical, smiling, iconic, cute, glowing, cheerful, cartoon"
19,Kung Fu Panda,"panda, animated, action, DreamWorks, funny, Chinese, powerful, traditional, friendly, warrior, martial arts, determined, iconic, Eastern, bold, belt, innocent, black-and-white, adorable, heroic, cartoon"
20,Lightning McQueen,"Disney, Pixar, fast, Red, animated, popular, speed, friendly, modern, race car, champion, bright, Piston Cup, determined, motor, iconic, confident, dynamic, smiling, competitive, cartoon"
21,Link,"young, map, cap, hero, hearts, belt, brave, shield, boots, loyal, sword, fierce, gloves, bombs, fairy, compass, journeys, courageous, blue eyes, puzzles, cartoon"
22,Maleficent,"fairy tale, elegant, protective, mystical, commanding, misunderstood, winged, menacing, majestic, gothic, brooding, regal, enigmatic, ethereal, fearsome, vengeful, intimidating, otherworldly, captivating, motherly, cartoon"
23,Mario,"Italian, Nintendo, hero, video games, Cap, jumping, iconic, Loyal, coins, jumps, pipes, cheerful, adventurous, Bowser, platformer, mustache, Yoshi, plumber, power-ups, Princess Peach, cartoon"
24,Mickey Mouse,"Disney, white, fun, black, character, happy, red, popular, eyes, magic, classic, round, entertainment, ears, cartoon, friendly, animated, leader, smile, Walt Disney, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, film, Disney, monster, Pixar, character, kids, small, animated, Green, adorable, comedy, toys, walking, one-eyed, bright, friendly, round, teeth, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, young, captain, powerful, leader, determined, brave, loyal, friendly, beloved, teenage, iconic, heroic, hungry, smiling, stubborn, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, strong, father, powerful, fit, cartoon, massive, leader, heroic, tall, mask, determined, cape, iconic, fictional, confident, inspiring, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Screaming, Rasengan, Determination, Heroic, Growing up, Inspiring, Shadow clone, Sage mode, Spirited, Blue eyes, Flashy, Youthful, Sandals, Headband, Adventurous, Bandages, cartoon"
29,Nemo,"small, lost, white, character, movie, sea, popular, fish, famous, adventure, animated, animated, ocean, friendly, bright, soft, orange, tail, beloved, Pixar, cartoon"
30,Olaf,"small, white, happy, unique, round, frozen, magic, soft, bright, friendly, creative, funny, innocent, Disney, gentle, animated, charming, fictional, cute, optimistic, cartoon"
31,Pac-Man,"level, arcade, classic, video game, round, eat, score, yellow, ghost, circle, 1980s, quarter, orange, maze, bonus, retro, chase, fruit, Namco, dots, cartoon"
32,Peter Pan,"island, flying, fantasy, hero, imagination, freedom, adventures, magical, shadow, leader, boots, charm, innocence, daring, Neverland, playful, Captain Hook, timeless, Lost Boys, boyish, cartoon"
33,Piglet,"small, pig, simple, friend, character, soft, warm, tiny, Pink, gentle, innocent, cap, delicate, vulnerable, cute, caring, comforting, distinctive, cautious, fearful, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, anime, short, yellow, cute, electric, round, video games, tail, fantasy, friendly, bright, toy, creature, mouse, thunder, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, palace, royal, Agrabah, determined, cartoon, confident, Arabian, cultural, independent, iconic, loyal, exotic, bold, necklace, elegant, cartoon"
36,Puss in boots,"Boots, animated, hero, walking, hat, standing, charming, sword, legend, smart, clever, fairy tale, gentleman, leather, belt, confident, cunning, feather, tails, cape, cartoon"
37,Rapunzel,"beautiful, princess, tower, classic, magical, fantasy, tall, charming, traditional, innocent, delicate, blonde, blue eyes, Long hair, medieval, feminine, slender, iconic, graceful, shimmering, cartoon"
38,Snow White,"love, beauty, magic, dress, animals, forest, prince, mirror, birds, gentle, innocent, classic, princess, apple, spell, friendship, rescue, victim, animated, fantasy, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, running, speed, fast, Genesis, cool, hero, zone, comics, tails, cartoon, rings, jumping, iconic, platformer, mascot, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, iconic, mask, genius, teenager, swinging, urban, symbol, climbing, Queens, alter ego, crawling, vigilante, athletic, flexible, stealth, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, animated, Nickelodeon, sea, square, yellow, laugh, Ocean, pants, Bikini Bottom, tie, Gary, shoes, smile, Squidward, shorts, nose, innocent, underwater, cartoon"
42,Squirtle,"Pokémon, blue, small, evolution, anime, Blastoise, popular, cute, tail, tough, Wartortle, water type, shell, friendly, creature, video games, determined, turtle, starter Pokémon, water gun, cartoon"
43,Thanos,"Marvel, space, powerful, villain, cosmic, alien, Titan, Infinity Stones, Infinity Gauntlet, Mad Titan, armor, destroyer, Eternal, intergalactic, antagonist, supervillain, terrifying, aggressive, feared, ruthless, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, metal, thunder, tall, lightning, warrior, magical, legendary, armor, divine, leather, fierce, boots, beard, cape, supernatural, cartoon"
45,Tinker Bell,"Disney, light, Fairy, magical, Peter Pan, tiny, bright, wings, fantasy, flight, cute, animated, charming, beloved, innocent, delicate, glowing, fairy tale, blonde, Neverland, cartoon"
46,Wall-E,"film, small, short, Pixar, animated, Robot, adventure, determined, friendly, metal, cute, yellow, electronic, survival, dirty, tracks, isolated, charming, curiosity, grey, cartoon"
47,Winnie-the-Pooh ,"Bear, Simple, English, Classic, Round, Warm, Friendly, Soft, Animated, Traditional, Yellow, Cute, Cartoon, Curious, Calm, Beloved, Gentle, Innocent, Fictional, Cheerful, cartoon"
48,Woody,"star, character, brown, wood, Western, friendly, smile, hat, beloved, belt, leather, toy, boots, rope, Andy, leadership, caring, vintage, Disney, iconic, cartoon"
49,Yoda,"The Mandalorian, Star Wars, Disney, The Child, small, popular, green, adorable, alien, Cute, merchandise, species, meme, mysterious, beloved, sci-fi, viral, fantasy, puppet, fandom, cartoon"
