,target,prompt
0,Ariel,"mermaid, Disney, princess, beauty, royal, magical, ocean, fantasy, crown, coral, cartoon"
1,Astro Boy,"anime, manga, Japanese, flying, robot, Osamu Tezuka, classic, android, retro, adventure, cartoon"
2,Batman,"dark, black, Gotham, superhero, batmobile, mask, detective, cape, night, armored, cartoon"
3,Black Panther,"Black, panther, Marvel, Wakanda, T'Challa, mask, king, superhero, suit, African, cartoon"
4,Bulbasaur,"anime, Pokémon, game, Nintendo, green, monster, Ivysaur, Venusaur, starter, evolution, cartoon"
5,Buzz Lightyear,"toy, Toy Story, Disney, Pixar, action figure, Star Command, Space ranger, infinity and beyond, cartoon, wings, cartoon"
6,Captain America,"soldier, Shield, red, blue, white, mask, leather, American, Super-Soldier, fitness, cartoon"
7,Chun-Li,"Street Fighter, Capcom, Chinese, spinning bird kick, hero, strategy, justice, fast, inspiration, female fighter, cartoon"
8,Cinderella,"castle, prince, charming, fairy tale, ball gown, beauty, fairy godmother, necklace, pumpkin carriage, dance, cartoon"
9,Cuphead,"Cartoon, Animated, Retro, 1930s, Vintage, Run-and-gun, Black-and-white, Inkwell, Platformer, Co-op gameplay, cartoon"
10,Donald Duck,"Disney, cartoon, vintage, funny, classic, happy, animated, timeless, famous, iconic, cartoon"
11,Doraemon,"cute, anime, Japan, cat, Blue, character, adventure, robot, manga, white, cartoon"
12,Elsa,"Frozen, Disney, Snow, Silver, Winter, Crown, Magic, Gown, Frost, Cape, cartoon"
13,Goofy,"Disney, funny, dog, cartoon, vintage, character, silly, goof, animation, animated, cartoon"
14,Groot,"guardian, green, wooden, gentle giant, natural, branches, mossy, Tree-like, durable, botanical, cartoon"
15,Hulk,"Marvel, superhero, Green, giant, savage, angry, indestructible, strong, smashing, strength, cartoon"
16,Iron Man,"superhero, helmet, Arc reactor, suit-up, Stark Industries, alloy, armored Avenger, metallic, iconic, superhero costume, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, rabbit, determined, ears, animated, optimistic, mammal, badge, cartoon"
18,Kirby,"cute, round, Pink, small, video game, soft, flying, sweet, fantasy, simple, cartoon"
19,Kung Fu Panda,"panda, DreamWorks, Chinese, animated, warrior, action, funny, martial arts, adorable, protective, cartoon"
20,Lightning McQueen,"Disney, Pixar, Red, Cars movie, Piston Cup, race car, speed, fast, animated, champion, cartoon"
21,Link,"Zelda, belt, map, young, Breath of the Wild, boots, sword, cap, Twilight Princess, Hyrule, cartoon"
22,Maleficent,"fairy tale, gothic, Disney character, dark beauty, winged, dark fairy, elegant, protective, misunderstood, costume design, cartoon"
23,Mario,"Nintendo, Bowser, Yoshi, Italian, Princess Peach, video games, Cap, coins, plumber, Question Block, cartoon"
24,Mickey Mouse,"Disney, clubhouse, red, Walt Disney, black, cartoon, ears, white, classic, character, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, Disney, Pixar, monster, plush, Green, kids, character, toys, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, Straw hat, pirate, captain, young, sandals, black hair, smiling, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, mask, animated, strong, tall, cartoon, heroic, super strength, cartoon"
28,Naruto,"Ninja, Headband, Sage mode, Rasengan, Seventh Hokage, Smile, Sandals, Leaf Village symbol, Shadow clone, Transformation, cartoon"
29,Nemo,"fish, Pixar, sea, movie, Clownfish, cute, ocean, underwater, reef, white, cartoon"
30,Olaf,"frozen, Disney, Snowman, white, cute, soft, funny, small, happy, magic, cartoon"
31,Pac-Man,"arcade, ghost, video game, Namco, retro, classic, maze, Midway, blinky, arcade cabinet, cartoon"
32,Peter Pan,"Neverland, Captain Hook, Tinker Bell, flying, shadow, pixie, adventures, Lost Boys, pirate ship, charm, cartoon"
33,Piglet,"Winnie the Pooh, pig, cute, Pink, cartoon, plush, small, soft, adorable, character, cartoon"
34,Pikachu,"Pokémon, cute, anime, toy, yellow, character, red, series, mascot, small, cartoon"
