,target,prompt
0,Ariel,"popular, beauty, royal, cartoon"
1,Astro Boy,"adventure, anime, Japanese, cartoon"
2,Batman,"black, dark, night, cartoon"
3,Black Panther,"Black, panther, Marvel, cartoon"
4,Bulbasaur,"game, Pokémon, Nintendo, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, cartoon"
6,Captain America,"red, white, American, cartoon"
7,Chun-Li,"Street Fighter, Capcom, hero, cartoon"
8,Cinderella,"beauty, dance, prince, cartoon"
9,Cuphead,"Retro, Cartoon, Animated, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon"
11,Doraemon,"adventure, popular, Japan, cartoon"
12,Elsa,"Winter, Frozen, Disney, cartoon"
13,Goofy,"funny, character, Disney, cartoon"
14,Groot,"green, natural, guardian, cartoon"
15,Hulk,"Marvel, Green, superhero, cartoon"
16,Iron Man,"superhero, iconic, helmet, cartoon"
17,Judy Hopps,"Zootopia, adventure, animated, cartoon"
18,Kirby,"small, simple, round, cartoon"
19,Kung Fu Panda,"panda, action, animated, cartoon"
20,Lightning McQueen,"Disney, popular, Red, cartoon"
21,Link,"map, young, hero, cartoon"
22,Maleficent,"gothic, fairy tale, elegant, cartoon"
23,Mario,"Nintendo, hero, Italian, cartoon"
24,Mickey Mouse,"Disney, white, black, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, cartoon"
28,Naruto,"Ninja, Friendly, Smile, cartoon"
29,Nemo,"white, small, sea, cartoon"
30,Olaf,"white, small, happy, cartoon"
31,Pac-Man,"classic, arcade, ghost, cartoon"
32,Peter Pan,"island, adventures, hero, cartoon"
33,Piglet,"small, pig, friend, cartoon"
34,Pikachu,"Pokémon, series, red, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, cartoon"
36,Puss in boots,"Boots, hero, legend, cartoon"
37,Rapunzel,"princess, beautiful, classic, cartoon"
38,Snow White,"love, beauty, Disney, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, cartoon"
40,Spider-Man,"young, superhero, New York, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, sea, cartoon"
42,Squirtle,"Pokémon, blue, anime, cartoon"
43,Thanos,"Marvel, space, alien, cartoon"
44,Thor,"hero, metal, powerful, cartoon"
45,Tinker Bell,"Disney, Fairy, fantasy, cartoon"
46,Wall-E,"film, Pixar, adventure, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, English, cartoon"
48,Woody,"star, brown, wood, cartoon"
49,Yoda,"Star Wars, green, Cute, cartoon"
