,target,prompt
0,Ariel,"popular, beauty, bright, royal, innocent, singing, ocean, curious, princess, fantasy, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, adventure, classic, strong, Osamu Tezuka, machine, flying, cartoon"
2,Batman,"dark, black, night, strong, superhero, Gotham, detective, mask, mysterious, iconic, cartoon"
3,Black Panther,"Black, panther, power, Marvel, king, African, leader, modern, superhero, suit, cartoon"
4,Bulbasaur,"Pokémon, game, blue, starter, green, evolution, anime, powerful, Nintendo, Venusaur, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, animated, Pixar, friendly, cartoon, determined, wings, iconic, cartoon"
6,Captain America,"American, soldier, red, white, strong, stars, blue, Shield, iconic, combat, cartoon"
7,Chun-Li,"Street Fighter, Capcom, fast, powerful, Chinese, hero, strategy, determined, justice, special moves, cartoon"
8,Cinderella,"beauty, dance, poor, prince, charming, sisters, fantasy, midnight, castle, innocent, cartoon"
9,Cuphead,"Cartoon, 1930s, Platformer, Animated, Challenging, Run-and-gun, Retro, Hand-drawn, Boss battles, Nostalgia, cartoon"
10,Donald Duck,"Disney, happy, famous, classic, funny, cartoon, animated, beloved, gloves, vivid, cartoon"
11,Doraemon,"Japan, anime, manga, character, popular, animation, Blue, cat, adventure, white, cartoon"
12,Elsa,"Frozen, Magic, Winter, Snow, Cool, Disney, Powers, Silver, Fantasy, Crown, cartoon"
13,Goofy,"character, funny, dog, silly, friendly, male, Tall, innocent, Disney, animated, cartoon"
14,Groot,"natural, green, ancient, wise, robust, branches, flexible, organic, wooden, evolving, cartoon"
15,Hulk,"Green, strong, Marvel, powerful, giant, strength, massive, angry, solid, superhero, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, metallic, cutting-edge, Stark Industries, durability, Arc reactor, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, small, kind, young, adventure, mammal, cartoon"
18,Kirby,"small, simple, round, bright, friendly, flying, soft, sweet, innocent, fantasy, cartoon"
19,Kung Fu Panda,"panda, animated, action, DreamWorks, funny, Chinese, powerful, traditional, friendly, warrior, cartoon"
20,Lightning McQueen,"Disney, Pixar, fast, Red, animated, popular, speed, friendly, modern, race car, cartoon"
21,Link,"young, map, cap, hero, hearts, belt, brave, shield, boots, loyal, cartoon"
22,Maleficent,"fairy tale, elegant, protective, mystical, commanding, misunderstood, winged, menacing, majestic, gothic, cartoon"
23,Mario,"Italian, Nintendo, hero, video games, Cap, jumping, iconic, Loyal, coins, jumps, cartoon"
24,Mickey Mouse,"Disney, white, fun, black, character, happy, red, popular, eyes, magic, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, film, Disney, monster, Pixar, character, kids, small, animated, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, young, captain, powerful, leader, determined, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, strong, father, powerful, fit, cartoon, massive, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Screaming, Rasengan, Determination, Heroic, Growing up, Inspiring, cartoon"
29,Nemo,"small, lost, white, character, movie, sea, popular, fish, famous, adventure, cartoon"
30,Olaf,"small, white, happy, unique, round, frozen, magic, soft, bright, friendly, cartoon"
31,Pac-Man,"level, arcade, classic, video game, round, eat, score, yellow, ghost, circle, cartoon"
32,Peter Pan,"island, flying, fantasy, hero, imagination, freedom, adventures, magical, shadow, leader, cartoon"
33,Piglet,"small, pig, simple, friend, character, soft, warm, tiny, Pink, gentle, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, anime, short, yellow, cute, electric, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, palace, royal, Agrabah, determined, cartoon, cartoon"
36,Puss in boots,"Boots, animated, hero, walking, hat, standing, charming, sword, legend, smart, cartoon"
37,Rapunzel,"beautiful, princess, tower, classic, magical, fantasy, tall, charming, traditional, innocent, cartoon"
38,Snow White,"love, beauty, magic, dress, animals, forest, prince, mirror, birds, gentle, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, running, speed, fast, Genesis, cool, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, iconic, mask, genius, teenager, swinging, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, animated, Nickelodeon, sea, square, yellow, laugh, Ocean, pants, cartoon"
42,Squirtle,"Pokémon, blue, small, evolution, anime, Blastoise, popular, cute, tail, tough, cartoon"
43,Thanos,"Marvel, space, powerful, villain, cosmic, alien, Titan, Infinity Stones, Infinity Gauntlet, Mad Titan, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, metal, thunder, tall, lightning, warrior, cartoon"
45,Tinker Bell,"Disney, light, Fairy, magical, Peter Pan, tiny, bright, wings, fantasy, flight, cartoon"
46,Wall-E,"film, small, short, Pixar, animated, Robot, adventure, determined, friendly, metal, cartoon"
47,Winnie-the-Pooh ,"Bear, Simple, English, Classic, Round, Warm, Friendly, Soft, Animated, Traditional, cartoon"
48,Woody,"star, character, brown, wood, Western, friendly, smile, hat, beloved, belt, cartoon"
49,Yoda,"The Mandalorian, Star Wars, Disney, The Child, small, popular, green, adorable, alien, Cute, cartoon"
