,target,prompt
0,Ariel,"popular, beauty, bright, royal, curious, Disney, fantasy, princess, ocean, transformation, innocent, singing, magical, iconic, mermaid, crown, feminine, animated, vibrant, charming, cartoon"
1,Astro Boy,"Japanese, anime, manga, classic, robot, adventure, strong, Osamu Tezuka, machine, friendly, flying, superhero, science fiction, android, iconic, retro, charming, futuristic, determined, innocent, cartoon"
2,Batman,"black, dark, night, strong, superhero, iconic, mask, detective, Gotham, mysterious, legendary, tall, boots, cape, leather, heroic, gadgets, grim, gloves, vigilante, cartoon"
3,Black Panther,"Black, panther, power, king, Marvel, African, modern, leader, strength, superhero, suit, iconic, speed, strategy, Wakanda, legendary, mask, warrior, leather, guardian, cartoon"
4,Bulbasaur,"game, Pokémon, blue, popular, Nintendo, green, starter, anime, evolution, powerful, leaves, forest, eyes, seed, iconic, beloved, monster, tail, friendly, spots, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, friendly, iconic, cartoon, infinity and beyond, wings, Space ranger, determined, confident, laser, action figure, boots, bold, Star Command, animated film, commander, cartoon"
6,Captain America,"red, American, white, strong, stars, soldier, blue, Shield, iconic, mask, combat, brave, tall, leadership, heroic, vintage, World War II, leather, belt, fitness, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, hero, fast, determined, justice, Chinese, strategy, kung fu, detective, competitive, inspiration, special moves, tactical, arcade game, martial artist, agility, stamina, endurance, cartoon"
8,Cinderella,"beauty, prince, dance, poor, fantasy, castle, sisters, charming, fairy tale, iconic, elegant, midnight, victim, legendary, innocent, kindness, transformation, destiny, stepmother, timeless, cartoon"
9,Cuphead,"Animated, Cartoon, Platformer, Challenging, Retro, Vibrant, Nostalgia, 1930s, Hand-drawn, Colorful, Iconic, Run-and-gun, Vintage, Boss battles, Fast-paced, Black-and-white, Bullet hell, Playful, Inkwell, Whimsical, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, famous, funny, animated, beloved, iconic, vintage, timeless, vibrant, lively, vivid, gloves, anthropomorphic, laughable, comedic, lovable, enduring, cartoon"
11,Doraemon,"popular, Japan, anime, character, white, Blue, adventure, manga, cat, animation, cute, magic, smile, round, robot, friendly, pocket, gadgets, influence, iconic, cartoon"
12,Elsa,"Cool, Winter, Disney, Magic, Frozen, Snow, Silver, Crown, Elegant, Chic, Gown, Fantasy, Cape, Powers, Blue Dress, Ethereal, Animation, Frost, Delicate, Glitter, cartoon"
13,Goofy,"funny, character, dog, silly, friendly, male, Disney, Tall, innocent, animated, animation, iconic, cartoon, vintage, humorous, optimistic, lovable, cheerful, enduring, clumsy, cartoon"
14,Groot,"green, natural, ancient, organic, sustainable, wise, flexible, robust, guardian, wooden, branches, seasonal, evolving, durable, enduring, woody, botanical, majestic, humanoid, rustic, cartoon"
15,Hulk,"Green, Marvel, strong, powerful, massive, giant, strength, solid, superhero, angry, aggressive, savage, destructive, ripped, explosive, muscular, smashing, imposing, relentless, fierce, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, metallic, durability, cutting-edge, robotics, Stark Industries, alloy, Arc reactor, suit-up, cybernetic, exoskeleton, visor, gauntlets, energy source, nanotechnology, retractable, cartoon"
17,Judy Hopps,"Zootopia, Disney, small, animated, young, rabbit, bunny, kind, adventure, strong, determined, smart, fit, charming, mammal, anthropomorphic, optimistic, assistant, bright, ears, cartoon"
18,Kirby,"small, simple, round, friendly, sweet, bright, fantasy, flying, soft, Pink, iconic, innocent, cute, transformation, magical, animated, video game, floating, vibrant, versatile, cartoon"
19,Kung Fu Panda,"panda, action, DreamWorks, traditional, powerful, Chinese, funny, friendly, warrior, animated, determined, Eastern, bold, martial arts, iconic, belt, heroic, humorous, innocent, adorable, cartoon"
20,Lightning McQueen,"Disney, popular, Pixar, Red, fast, speed, animated, friendly, modern, iconic, race car, champion, bright, motor, determined, competitive, Piston Cup, confident, vibrant, dynamic, cartoon"
