,target,prompt
0,Ariel,"popular, beauty, bright, royal, curious, cartoon"
1,Astro Boy,"Japanese, anime, manga, classic, robot, cartoon"
2,Batman,"black, dark, night, strong, superhero, cartoon"
3,Black Panther,"Black, panther, power, king, Marvel, cartoon"
4,Bulbasaur,"game, Pokémon, blue, popular, Nintendo, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, cartoon"
6,Captain America,"red, American, white, strong, stars, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, hero, fast, cartoon"
8,Cinderella,"beauty, prince, dance, poor, fantasy, cartoon"
9,Cuphead,"Animated, Cartoon, Platformer, Challenging, Retro, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, famous, cartoon"
11,Doraemon,"popular, Japan, anime, character, white, cartoon"
12,Elsa,"Cool, Winter, Disney, Magic, Frozen, cartoon"
13,Goofy,"funny, character, dog, silly, friendly, cartoon"
14,Groot,"green, natural, ancient, organic, sustainable, cartoon"
15,Hulk,"Green, Marvel, strong, powerful, massive, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, cartoon"
17,Judy Hopps,"Zootopia, Disney, small, animated, young, cartoon"
18,Kirby,"small, simple, round, friendly, sweet, cartoon"
19,Kung Fu Panda,"panda, action, DreamWorks, traditional, powerful, cartoon"
20,Lightning McQueen,"Disney, popular, Pixar, Red, fast, cartoon"
21,Link,"young, map, cap, hero, hearts, cartoon"
22,Maleficent,"fairy tale, elegant, gothic, protective, captivating, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, cartoon"
24,Mickey Mouse,"fun, Disney, happy, white, black, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, character, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, young, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Transformation, Inspiring, cartoon"
29,Nemo,"small, white, popular, lost, movie, cartoon"
30,Olaf,"small, white, happy, unique, creative, cartoon"
31,Pac-Man,"level, classic, arcade, video game, round, cartoon"
32,Peter Pan,"adventures, fantasy, island, magical, flying, cartoon"
33,Piglet,"small, pig, friend, simple, warm, cartoon"
34,Pikachu,"series, Pokémon, small, character, red, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, smart, cartoon"
37,Rapunzel,"beautiful, princess, classic, magical, fantasy, cartoon"
38,Snow White,"love, beauty, magic, classic, Disney, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, video game, running, cartoon"
40,Spider-Man,"young, New York, superhero, iconic, costume, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, Nickelodeon, sea, animated, cartoon"
42,Squirtle,"Pokémon, small, popular, blue, cute, cartoon"
43,Thanos,"Marvel, space, powerful, villain, alien, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, cartoon"
45,Tinker Bell,"Disney, light, Fairy, Peter Pan, magical, cartoon"
46,Wall-E,"short, small, film, Pixar, adventure, cartoon"
47,Winnie-the-Pooh ,"Simple, Classic, Bear, English, Round, cartoon"
48,Woody,"star, wood, character, brown, Western, cartoon"
49,Yoda,"Star Wars, The Mandalorian, small, Disney, popular, cartoon"
