,target,prompt
0,Ariel,"popular, beauty, royal, princess, Disney, bright, mermaid, fantasy, ocean, crown, singing, animated, iconic, magical, coral, lively, innocent, transformation, curious, charming, cartoon"
1,Astro Boy,"adventure, anime, Japanese, classic, robot, machine, manga, flying, retro, android, superhero, strong, friendly, lasers, iconic, science fiction, boots, Osamu Tezuka, charming, timeless, cartoon"
2,Batman,"black, dark, night, superhero, strong, detective, Gotham, mask, legendary, iconic, boots, tall, leather, gadgets, mysterious, gloves, cape, grim, heroic, armored, cartoon"
3,Black Panther,"Black, panther, Marvel, power, king, superhero, modern, African, leader, suit, speed, warrior, mask, legendary, iconic, guardian, strength, Wakanda, strategy, leather, cartoon"
4,Bulbasaur,"game, Pokémon, Nintendo, blue, green, anime, popular, evolution, monster, Venusaur, starter, eyes, forest, Ivysaur, tail, plant, powerful, skin, friendly, leaves, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, cartoon, animated, friendly, boots, iconic, laser, wings, Star Command, bold, infinity and beyond, action figure, commander, science fiction, Space ranger, gloves, CGI, cartoon"
6,Captain America,"red, white, American, blue, stars, soldier, strong, Shield, brave, vintage, boots, mask, iconic, combat, tall, fitness, leather, gloves, belt, leadership, cartoon"
7,Chun-Li,"Street Fighter, Capcom, hero, fast, justice, Chinese, detective, kung fu, competitive, powerful, strategy, inspiration, special moves, badge, determined, fighting game community, tactical, arcade game, popular culture, stamina, cartoon"
8,Cinderella,"beauty, dance, prince, fantasy, castle, midnight, sisters, fairy tale, charming, poor, legendary, destiny, elegant, love story, iconic, blonde, maid, necklace, timeless, innocent, cartoon"
9,Cuphead,"Retro, Cartoon, Animated, Platformer, Vintage, Iconic, Challenging, Fast-paced, 1930s, Colorful, Nostalgia, Whimsical, Black-and-white, Vibrant, Hand-drawn, Run-and-gun, Boss battles, Eldritch, Playful, Bullet hell, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, animated, famous, vintage, funny, iconic, beloved, gloves, timeless, vibrant, lively, slapstick, anthropomorphic, vivid, lovable, comedic, enduring, cartoon"
11,Doraemon,"adventure, popular, Japan, Blue, white, cat, anime, magic, round, character, animation, robot, cute, manga, pocket, bell, friendly, smile, gadgets, collar, cartoon"
12,Elsa,"Winter, Frozen, Disney, Cool, Snow, Silver, Magic, Chic, Fantasy, Elegant, Gown, Frost, Crown, Animation, Delicate, Cape, Powers, Tiara, Glitter, Sparkle, cartoon"
13,Goofy,"funny, character, Disney, dog, friendly, silly, cartoon, animation, vintage, animated, male, Tall, iconic, innocent, humorous, optimistic, lovable, goof, family-friendly, cheerful, cartoon"
14,Groot,"green, natural, guardian, organic, wise, woody, ancient, wooden, sustainable, seasonal, stout, majestic, flexible, botanical, branches, robust, evolving, durable, gentle giant, mythical, cartoon"
15,Hulk,"Marvel, Green, superhero, giant, strong, angry, powerful, savage, strength, massive, solid, smashing, aggressive, fierce, explosive, ripped, colossal, mammoth, relentless, durable, cartoon"
16,Iron Man,"superhero, iconic, helmet, metallic, robotics, futuristic, high-tech, cutting-edge, alloy, durability, Arc reactor, suit-up, exoskeleton, cybernetic, nanotechnology, Stark Industries, visor, gauntlets, superhero costume, retractable, cartoon"
17,Judy Hopps,"Zootopia, adventure, animated, small, Disney, smart, confident, courageous, young, rabbit, bunny, kind, strong, fit, grey, bright, determined, tail, charming, assistant, cartoon"
18,Kirby,"small, simple, round, sweet, fantasy, friendly, Pink, flying, bright, soft, cute, video game, magical, animated, iconic, transformation, innocent, floating, adorable, balloon, cartoon"
19,Kung Fu Panda,"panda, action, animated, funny, warrior, DreamWorks, Chinese, friendly, Gi, bold, Eastern, powerful, traditional, belt, martial arts, black-and-white, fur, innocent, iconic, playful, cartoon"
20,Lightning McQueen,"Disney, popular, Red, Pixar, fast, speed, animated, bright, race car, friendly, champion, modern, motor, iconic, coupe, bold, Piston Cup, dynamic, spoiler, stylish, cartoon"
21,Link,"map, young, hero, hearts, cap, boots, belt, shield, puzzles, fairy, brave, gloves, compass, sword, loyal, journeys, bombs, fierce, pouch, dungeon, cartoon"
22,Maleficent,"gothic, fairy tale, elegant, winged, regal, protective, commanding, costume design, misunderstood, mystical, Disney character, majestic, vengeful, fearsome, menacing, captivating, transformative, ethereal, intimidating, dark fairy, cartoon"
23,Mario,"Nintendo, hero, Italian, video games, Cap, iconic, coins, jumping, Yoshi, Bowser, platformer, mustache, Loyal, jumps, pipes, Princess Peach, plumber, adventurous, cheerful, power-ups, cartoon"
