,target,prompt
0,Ariel,"mermaid, Disney, princess, beauty, royal, cartoon"
1,Astro Boy,"anime, manga, Japanese, flying, robot, cartoon"
2,Batman,"dark, black, Gotham, superhero, batmobile, cartoon"
3,Black Panther,"Black, panther, Marvel, Wakanda, T'Challa, cartoon"
4,Bulbasaur,"anime, Pokémon, game, Nintendo, green, cartoon"
5,Buzz Lightyear,"toy, Toy Story, Disney, Pixar, action figure, cartoon"
6,Captain America,"soldier, Shield, red, blue, white, cartoon"
7,Chun-Li,"Street Fighter, Capcom, Chinese, spinning bird kick, hero, cartoon"
8,Cinderella,"castle, prince, charming, fairy tale, ball gown, cartoon"
9,Cuphead,"Cartoon, Animated, Retro, 1930s, Vintage, cartoon"
10,Donald Duck,"Disney, cartoon, vintage, funny, classic, cartoon"
11,Doraemon,"cute, anime, Japan, cat, Blue, cartoon"
12,Elsa,"Frozen, Disney, Snow, Silver, Winter, cartoon"
13,Goofy,"Disney, funny, dog, cartoon, vintage, cartoon"
14,Groot,"guardian, green, wooden, gentle giant, natural, cartoon"
15,Hulk,"Marvel, superhero, Green, giant, savage, cartoon"
16,Iron Man,"superhero, helmet, Arc reactor, suit-up, Stark Industries, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, rabbit, determined, cartoon"
18,Kirby,"cute, round, Pink, small, video game, cartoon"
19,Kung Fu Panda,"panda, DreamWorks, Chinese, animated, warrior, cartoon"
20,Lightning McQueen,"Disney, Pixar, Red, Cars movie, Piston Cup, cartoon"
21,Link,"Zelda, belt, map, young, Breath of the Wild, cartoon"
22,Maleficent,"fairy tale, gothic, Disney character, dark beauty, winged, cartoon"
23,Mario,"Nintendo, Bowser, Yoshi, Italian, Princess Peach, cartoon"
24,Mickey Mouse,"Disney, clubhouse, red, Walt Disney, black, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, Disney, Pixar, monster, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, Straw hat, pirate, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, mask, animated, cartoon"
28,Naruto,"Ninja, Headband, Sage mode, Rasengan, Seventh Hokage, cartoon"
29,Nemo,"fish, Pixar, sea, movie, Clownfish, cartoon"
30,Olaf,"frozen, Disney, Snowman, white, cute, cartoon"
31,Pac-Man,"arcade, ghost, video game, Namco, retro, cartoon"
32,Peter Pan,"Neverland, Captain Hook, Tinker Bell, flying, shadow, cartoon"
33,Piglet,"Winnie the Pooh, pig, cute, Pink, cartoon, cartoon"
34,Pikachu,"Pokémon, cute, anime, toy, yellow, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, Arabian, royal, cartoon"
36,Puss in boots,"Boots, fairy tale, animated, hat, sword, cartoon"
37,Rapunzel,"princess, tower, classic, beautiful, blonde, cartoon"
38,Snow White,"Disney, seven dwarfs, princess, dress, evil queen, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, tails, video game, Blue, cartoon"
40,Spider-Man,"costume, Marvel Comics, superhero, mask, New York, cartoon"
41,SpongeBob SquarePants,"Bikini Bottom, Nickelodeon, cartoon, yellow, Squidward, cartoon"
42,Squirtle,"Pokémon, anime, cute, cartoon, Blastoise, cartoon"
43,Thanos,"Marvel, Infinity Gauntlet, Titan, Infinity Stones, villain, cartoon"
44,Thor,"hammer, thunder, god of thunder, hero, Viking, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, wings, light, cartoon"
46,Wall-E,"Pixar, Robot, film, metal, cute, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, Plush, Cute, Cartoon, cartoon"
48,Woody,"toy, Toy Story, Disney, Pixar, sheriff, cartoon"
49,Yoda,"Star Wars, The Mandalorian, The Child, Disney, Cute, cartoon"
