,target,prompt
0,Ariel,"popular, beauty, bright, cartoon"
1,Astro Boy,"Japanese, anime, manga, cartoon"
2,Batman,"dark, black, night, cartoon"
3,Black Panther,"Black, panther, power, cartoon"
4,Bulbasaur,"Pokémon, game, blue, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, cartoon"
6,Captain America,"American, soldier, red, cartoon"
7,Chun-Li,"Street Fighter, Capcom, fast, cartoon"
8,Cinderella,"beauty, dance, poor, cartoon"
9,Cuphead,"Cartoon, 1930s, Platformer, cartoon"
10,Donald Duck,"Disney, happy, famous, cartoon"
11,Doraemon,"Japan, anime, manga, cartoon"
12,Elsa,"Frozen, Magic, Winter, cartoon"
13,Goofy,"character, funny, dog, cartoon"
14,Groot,"natural, green, ancient, cartoon"
15,Hulk,"Green, strong, Marvel, cartoon"
16,Iron Man,"superhero, iconic, helmet, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, cartoon"
18,Kirby,"small, simple, round, cartoon"
19,Kung Fu Panda,"panda, animated, action, cartoon"
20,Lightning McQueen,"Disney, Pixar, fast, cartoon"
21,Link,"young, map, cap, cartoon"
22,Maleficent,"fairy tale, elegant, protective, cartoon"
23,Mario,"Italian, Nintendo, hero, cartoon"
24,Mickey Mouse,"Disney, white, fun, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, film, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, cartoon"
28,Naruto,"Ninja, Smile, Friendly, cartoon"
29,Nemo,"small, lost, white, cartoon"
30,Olaf,"small, white, happy, cartoon"
31,Pac-Man,"level, arcade, classic, cartoon"
32,Peter Pan,"island, flying, fantasy, cartoon"
33,Piglet,"small, pig, simple, cartoon"
34,Pikachu,"Pokémon, series, character, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, cartoon"
36,Puss in boots,"Boots, animated, hero, cartoon"
37,Rapunzel,"beautiful, princess, tower, cartoon"
38,Snow White,"love, beauty, magic, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, cartoon"
40,Spider-Man,"young, superhero, New York, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, animated, cartoon"
42,Squirtle,"Pokémon, blue, small, cartoon"
43,Thanos,"Marvel, space, powerful, cartoon"
44,Thor,"powerful, hero, strength, cartoon"
45,Tinker Bell,"Disney, light, Fairy, cartoon"
46,Wall-E,"film, small, short, cartoon"
47,Winnie-the-Pooh ,"Bear, Simple, English, cartoon"
48,Woody,"star, character, brown, cartoon"
49,Yoda,"The Mandalorian, Star Wars, Disney, cartoon"
