,target,prompt
0,Ariel,"popular, Disney, beauty, princess, innocent, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, Osamu Tezuka, cartoon"
2,Batman,"dark, black, superhero, night, strong, cartoon"
3,Black Panther,"Black, panther, power, Marvel, African, cartoon"
4,Bulbasaur,"game, Pokémon, blue, evolution, starter, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, cartoon"
6,Captain America,"soldier, American, red, white, strong, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, fast, hero, cartoon"
8,Cinderella,"beauty, prince, poor, castle, dance, cartoon"
9,Cuphead,"1930s, Cartoon, Platformer, Run-and-gun, Challenging, cartoon"
10,Donald Duck,"Disney, cartoon, classic, animated, famous, cartoon"
11,Doraemon,"Japan, anime, manga, character, popular, cartoon"
12,Elsa,"Frozen, Disney, Snow, Magic, Powers, cartoon"
13,Goofy,"character, funny, silly, dog, friendly, cartoon"
14,Groot,"green, natural, ancient, guardian, wise, cartoon"
15,Hulk,"Marvel, Green, strong, superhero, giant, cartoon"
16,Iron Man,"superhero, iconic, helmet, futuristic, high-tech, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, cartoon"
18,Kirby,"small, simple, round, fantasy, flying, cartoon"
19,Kung Fu Panda,"panda, animated, DreamWorks, action, Chinese, cartoon"
20,Lightning McQueen,"Disney, Pixar, animated, Red, popular, cartoon"
21,Link,"young, map, hero, cap, shield, cartoon"
22,Maleficent,"fairy tale, elegant, protective, Disney character, mystical, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, cartoon"
24,Mickey Mouse,"Disney, character, white, black, popular, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, Pixar, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, animated, superhero, strong, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Shadow clone, cartoon"
29,Nemo,"movie, small, character, lost, white, cartoon"
30,Olaf,"small, frozen, Disney, white, happy, cartoon"
31,Pac-Man,"arcade, video game, classic, level, score, cartoon"
32,Peter Pan,"fantasy, hero, island, adventures, Neverland, cartoon"
33,Piglet,"small, pig, friend, character, simple, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, animated, beautiful, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, fairy tale, cartoon"
37,Rapunzel,"princess, beautiful, tower, magical, blonde, cartoon"
38,Snow White,"love, Disney, beauty, magic, princess, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, cartoon"
40,Spider-Man,"superhero, young, New York, Marvel Comics, costume, cartoon"
41,SpongeBob SquarePants,"cartoon, animated, Nickelodeon, fun, sea, cartoon"
42,Squirtle,"Pokémon, small, blue, popular, tough, cartoon"
43,Thanos,"Marvel, space, villain, cosmic, powerful, cartoon"
44,Thor,"hero, powerful, hammer, strength, ancient, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, light, animated, cartoon"
46,Wall-E,"film, Pixar, Robot, small, short, cartoon"
47,Winnie-the-Pooh ,"Bear, Animated, Classic, Simple, English, cartoon"
48,Woody,"star, character, brown, wood, Western, cartoon"
49,Yoda,"Star Wars, Cute, small, soft, green, cartoon"
