,target,prompt
0,Ariel,"popular, beauty, bright, royal, curious, Disney, fantasy, princess, ocean, transformation, cartoon"
1,Astro Boy,"Japanese, anime, manga, classic, robot, adventure, strong, Osamu Tezuka, machine, friendly, cartoon"
2,Batman,"black, dark, night, strong, superhero, iconic, mask, detective, Gotham, mysterious, cartoon"
3,Black Panther,"Black, panther, power, king, Marvel, African, modern, leader, strength, superhero, cartoon"
4,Bulbasaur,"game, Pokémon, blue, popular, Nintendo, green, starter, anime, evolution, powerful, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, friendly, iconic, cartoon, infinity and beyond, wings, cartoon"
6,Captain America,"red, American, white, strong, stars, soldier, blue, Shield, iconic, mask, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, hero, fast, determined, justice, Chinese, strategy, kung fu, cartoon"
8,Cinderella,"beauty, prince, dance, poor, fantasy, castle, sisters, charming, fairy tale, iconic, cartoon"
9,Cuphead,"Animated, Cartoon, Platformer, Challenging, Retro, Vibrant, Nostalgia, 1930s, Hand-drawn, Colorful, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, famous, funny, animated, beloved, iconic, vintage, cartoon"
11,Doraemon,"popular, Japan, anime, character, white, Blue, adventure, manga, cat, animation, cartoon"
12,Elsa,"Cool, Winter, Disney, Magic, Frozen, Snow, Silver, Crown, Elegant, Chic, cartoon"
13,Goofy,"funny, character, dog, silly, friendly, male, Disney, Tall, innocent, animated, cartoon"
14,Groot,"green, natural, ancient, organic, sustainable, wise, flexible, robust, guardian, wooden, cartoon"
15,Hulk,"Green, Marvel, strong, powerful, massive, giant, strength, solid, superhero, angry, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, metallic, durability, cutting-edge, robotics, Stark Industries, cartoon"
17,Judy Hopps,"Zootopia, Disney, small, animated, young, rabbit, bunny, kind, adventure, strong, cartoon"
18,Kirby,"small, simple, round, friendly, sweet, bright, fantasy, flying, soft, Pink, cartoon"
19,Kung Fu Panda,"panda, action, DreamWorks, traditional, powerful, Chinese, funny, friendly, warrior, animated, cartoon"
20,Lightning McQueen,"Disney, popular, Pixar, Red, fast, speed, animated, friendly, modern, iconic, cartoon"
21,Link,"young, map, cap, hero, hearts, shield, brave, belt, loyal, boots, cartoon"
22,Maleficent,"fairy tale, elegant, gothic, protective, captivating, mystical, misunderstood, vengeful, Disney character, intimidating, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, jumping, iconic, coins, Loyal, jumps, cartoon"
24,Mickey Mouse,"fun, Disney, happy, white, black, popular, red, character, classic, magic, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, character, Pixar, kids, small, monster, animated, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, young, powerful, Straw hat, captain, leader, friendly, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, strong, fit, leader, powerful, massive, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Transformation, Inspiring, Growing up, Screaming, Determination, Heroic, Spirited, cartoon"
29,Nemo,"small, white, popular, lost, movie, sea, character, adventure, friendly, fish, cartoon"
30,Olaf,"small, white, happy, unique, creative, frozen, round, friendly, magic, Disney, cartoon"
31,Pac-Man,"level, classic, arcade, video game, round, bonus, eat, score, retro, maze, cartoon"
32,Peter Pan,"adventures, fantasy, island, magical, flying, hero, freedom, imagination, Neverland, leader, cartoon"
33,Piglet,"small, pig, friend, simple, warm, character, tiny, soft, cute, Pink, cartoon"
34,Pikachu,"series, Pokémon, small, character, red, short, anime, cute, video games, yellow, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, palace, royal, Agrabah, iconic, cartoon, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, smart, walking, fairy tale, charming, clever, hat, cartoon"
37,Rapunzel,"beautiful, princess, classic, magical, fantasy, tower, traditional, charming, iconic, tall, cartoon"
38,Snow White,"love, beauty, magic, classic, Disney, princess, animals, prince, dress, fantasy, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, video game, running, fast, Blue, cool, speed, hero, cartoon"
40,Spider-Man,"young, New York, superhero, iconic, costume, mask, Marvel Comics, teenager, urban, genius, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, Nickelodeon, sea, animated, square, yellow, Bikini Bottom, laugh, shorts, cartoon"
42,Squirtle,"Pokémon, small, popular, blue, cute, evolution, anime, tough, friendly, video games, cartoon"
43,Thanos,"Marvel, space, powerful, villain, alien, cosmic, Titan, Infinity Stones, armor, Infinity Gauntlet, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, thunder, metal, magical, warrior, legendary, cartoon"
45,Tinker Bell,"Disney, light, Fairy, Peter Pan, magical, animated, flight, fantasy, tiny, cute, cartoon"
46,Wall-E,"short, small, film, Pixar, adventure, Robot, friendly, animated, cute, determined, cartoon"
47,Winnie-the-Pooh ,"Simple, Classic, Bear, English, Round, Cute, Traditional, Friendly, Warm, Soft, cartoon"
48,Woody,"star, wood, character, brown, Western, friendly, hat, smile, toy, Andy, cartoon"
49,Yoda,"Star Wars, The Mandalorian, small, Disney, popular, The Child, green, Cute, merchandise, adorable, cartoon"
