,target,prompt
0,Ariel,"popular, beauty, royal, princess, Disney, cartoon"
1,Astro Boy,"adventure, anime, Japanese, classic, robot, cartoon"
2,Batman,"black, dark, night, superhero, strong, cartoon"
3,Black Panther,"Black, panther, Marvel, power, king, cartoon"
4,Bulbasaur,"game, Pokémon, Nintendo, blue, green, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, cartoon, cartoon"
6,Captain America,"red, white, American, blue, stars, cartoon"
7,Chun-Li,"Street Fighter, Capcom, hero, fast, justice, cartoon"
8,Cinderella,"beauty, dance, prince, fantasy, castle, cartoon"
9,Cuphead,"Retro, Cartoon, Animated, Platformer, Vintage, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, animated, cartoon"
11,Doraemon,"adventure, popular, Japan, Blue, white, cartoon"
12,Elsa,"Winter, Frozen, Disney, Cool, Snow, cartoon"
13,Goofy,"funny, character, Disney, dog, friendly, cartoon"
14,Groot,"green, natural, guardian, organic, wise, cartoon"
15,Hulk,"Marvel, Green, superhero, giant, strong, cartoon"
16,Iron Man,"superhero, iconic, helmet, metallic, robotics, cartoon"
17,Judy Hopps,"Zootopia, adventure, animated, small, Disney, cartoon"
18,Kirby,"small, simple, round, sweet, fantasy, cartoon"
19,Kung Fu Panda,"panda, action, animated, funny, warrior, cartoon"
20,Lightning McQueen,"Disney, popular, Red, Pixar, fast, cartoon"
21,Link,"map, young, hero, hearts, cap, cartoon"
22,Maleficent,"gothic, fairy tale, elegant, winged, regal, cartoon"
23,Mario,"Nintendo, hero, Italian, video games, Cap, cartoon"
24,Mickey Mouse,"Disney, white, black, red, popular, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, kids, small, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, young, captain, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Spirited, Growing up, cartoon"
29,Nemo,"white, small, sea, popular, movie, cartoon"
30,Olaf,"white, small, happy, frozen, Disney, cartoon"
31,Pac-Man,"classic, arcade, ghost, retro, level, cartoon"
32,Peter Pan,"island, adventures, hero, fantasy, magical, cartoon"
33,Piglet,"small, pig, friend, Pink, simple, cartoon"
34,Pikachu,"Pokémon, series, red, character, short, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, beautiful, royal, cartoon"
36,Puss in boots,"Boots, hero, legend, walking, sword, cartoon"
37,Rapunzel,"princess, beautiful, classic, fantasy, magical, cartoon"
38,Snow White,"love, beauty, Disney, princess, magic, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, comics, Blue, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, sea, Nickelodeon, animated, cartoon"
42,Squirtle,"Pokémon, blue, anime, popular, small, cartoon"
43,Thanos,"Marvel, space, alien, powerful, villain, cartoon"
44,Thor,"hero, metal, powerful, hammer, warrior, cartoon"
45,Tinker Bell,"Disney, Fairy, fantasy, light, Peter Pan, cartoon"
46,Wall-E,"film, Pixar, adventure, small, short, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, English, Simple, Soft, cartoon"
48,Woody,"star, brown, wood, Western, character, cartoon"
49,Yoda,"Star Wars, green, Cute, small, popular, cartoon"
