,target,prompt
0,Ariel,"popular, Disney, beauty, princess, innocent, mermaid, bright, royal, fantasy, animated, ocean, singing, magical, curious, crown, iconic, transformation, charming, underwater, feminine, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, Osamu Tezuka, classic, strong, adventure, machine, science fiction, superhero, iconic, flying, android, heroic, friendly, innocent, futuristic, retro, shorts, cartoon"
2,Batman,"dark, black, superhero, night, strong, Gotham, iconic, detective, mask, mysterious, legendary, cape, heroic, vigilante, batmobile, tall, grim, cowl, boots, gadgets, cartoon"
3,Black Panther,"Black, panther, power, Marvel, African, king, leader, superhero, modern, Wakanda, strength, suit, strategy, iconic, speed, legendary, warrior, mask, guardian, vibranium, cartoon"
4,Bulbasaur,"game, Pokémon, blue, evolution, starter, green, Nintendo, popular, eyes, powerful, anime, Venusaur, Ivysaur, tail, leaves, forest, plant, monster, creature, spots, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, cartoon, friendly, Space ranger, iconic, infinity and beyond, action figure, animated film, Star Command, wings, determined, laser, science fiction, futuristic, boots, space suit, cartoon"
6,Captain America,"soldier, American, red, white, strong, stars, Shield, blue, iconic, World War II, combat, heroic, mask, Super-Soldier, brave, tall, symbol, leadership, uniform, helmet, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, fast, hero, special moves, competitive, Chinese, justice, strategy, inspiration, kung fu, arcade game, fighting game community, determined, spinning bird kick, martial artist, detective, tactical, badge, cartoon"
8,Cinderella,"beauty, prince, poor, castle, dance, fantasy, fairy tale, charming, sisters, midnight, iconic, legendary, victim, stepmother, fairy godmother, innocent, transformation, blonde, humble, destiny, cartoon"
9,Cuphead,"1930s, Cartoon, Platformer, Run-and-gun, Challenging, Hand-drawn, Retro, Animated, Boss battles, Colorful, Nostalgia, Iconic, Fast-paced, Vibrant, Vintage, Bullet hell, Playful, Black-and-white, Jazz soundtrack, Whimsical, cartoon"
10,Donald Duck,"Disney, cartoon, classic, animated, famous, happy, funny, beloved, iconic, anthropomorphic, vintage, gloves, comedic, slapstick, eyebrows, timeless, enduring, lively, vivid, lovable, cartoon"
