,target,prompt
0,Ariel,"mermaid, Disney, princess, beauty, royal, magical, ocean, fantasy, crown, coral, singing, red hair, underwater, animated, popular, bright, storybook, charming, iconic, siren, cartoon"
1,Astro Boy,"anime, manga, Japanese, flying, robot, Osamu Tezuka, classic, android, retro, adventure, iconic, strong, machine, superhero, futuristic, science fiction, shorts, spiky hair, boots, charming, cartoon"
2,Batman,"dark, black, Gotham, superhero, batmobile, mask, detective, cape, night, armored, leather, cowl, Bat-signal, batwing, tactical, Batarang, gloves, boots, tall, iconic, cartoon"
3,Black Panther,"Black, panther, Marvel, Wakanda, T'Challa, mask, king, superhero, suit, African, power, necklace, leather, vibranium, tribal, warrior, leader, claws, modern, silhouette, cartoon"
4,Bulbasaur,"anime, Pokémon, game, Nintendo, green, monster, Ivysaur, Venusaur, starter, evolution, creature, plant, blue, skin, bulb, whip, fangs, seed, grass-type, claws, cartoon"
5,Buzz Lightyear,"toy, Toy Story, Disney, Pixar, action figure, Star Command, Space ranger, infinity and beyond, cartoon, wings, laser, animated, gloves, utility belt, space suit, intergalactic, space explorer, boots, poseable, adventurous, cartoon"
6,Captain America,"soldier, Shield, red, blue, white, mask, leather, American, Super-Soldier, fitness, vintage, helmet, uniform, stars, gloves, belt, boots, patriotic, brave, symbol, cartoon"
7,Chun-Li,"Street Fighter, Capcom, Chinese, spinning bird kick, hero, strategy, justice, fast, inspiration, female fighter, lightning kick, powerful, white boots, arcade game, badge, kung fu, special moves, thick thighs, battle outfit, martial artist, cartoon"
8,Cinderella,"castle, prince, charming, fairy tale, ball gown, beauty, fairy godmother, necklace, pumpkin carriage, dance, midnight, stepmother, fantasy, sisters, tiara, elegant, Glass slippers, iconic, rags, blonde, cartoon"
9,Cuphead,"Cartoon, Animated, Retro, 1930s, Vintage, Run-and-gun, Black-and-white, Inkwell, Platformer, Co-op gameplay, Boss battles, Hand-drawn, Challenging, Classic animation, Colorful, Iconic, Hard difficulty, Red shorts, Nostalgia, Striped straw, cartoon"
10,Donald Duck,"Disney, cartoon, vintage, funny, classic, happy, animated, timeless, famous, iconic, feisty, gloves, beloved, sailor hat, handkerchief, lovable, suspenders, red bow tie, vibrant, anthropomorphic, cartoon"
11,Doraemon,"cute, anime, Japan, cat, Blue, character, adventure, robot, manga, white, animation, pocket, popular, smile, bell, magic, gadgets, manga series, round, 22nd century, cartoon"
12,Elsa,"Frozen, Disney, Snow, Silver, Winter, Crown, Magic, Gown, Frost, Cape, Glitter, Snowflakes, Tiara, Braid, Sparkle, Ice Queen, Cool, Fantasy, Animation, Hairstyle, cartoon"
13,Goofy,"Disney, funny, dog, cartoon, vintage, character, silly, goof, animation, animated, Tall, friendly, male, cheerful, lovable, humorous, iconic, vest, clumsy, slapstick, cartoon"
14,Groot,"guardian, green, wooden, gentle giant, natural, branches, mossy, Tree-like, durable, botanical, leafy, rustic, organic, wise, ancient, humanoid, majestic, flexible, sustainable, woody, cartoon"
