,target,prompt
0,Ariel,"popular, Disney, beauty, cartoon"
1,Astro Boy,"Japanese, anime, manga, cartoon"
2,Batman,"dark, black, superhero, cartoon"
3,Black Panther,"Black, panther, power, cartoon"
4,Bulbasaur,"game, Pokémon, blue, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, cartoon"
6,Captain America,"soldier, American, red, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, cartoon"
8,Cinderella,"beauty, prince, poor, cartoon"
9,Cuphead,"1930s, Cartoon, Platformer, cartoon"
10,Donald Duck,"Disney, cartoon, classic, cartoon"
11,Doraemon,"Japan, anime, manga, cartoon"
12,Elsa,"Frozen, Disney, Snow, cartoon"
13,Goofy,"character, funny, silly, cartoon"
14,Groot,"green, natural, ancient, cartoon"
15,Hulk,"Marvel, Green, strong, cartoon"
16,Iron Man,"superhero, iconic, helmet, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, cartoon"
18,Kirby,"small, simple, round, cartoon"
19,Kung Fu Panda,"panda, animated, DreamWorks, cartoon"
20,Lightning McQueen,"Disney, Pixar, animated, cartoon"
21,Link,"young, map, hero, cartoon"
22,Maleficent,"fairy tale, elegant, protective, cartoon"
23,Mario,"Nintendo, Italian, video games, cartoon"
24,Mickey Mouse,"Disney, character, white, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, animated, cartoon"
28,Naruto,"Ninja, Smile, Friendly, cartoon"
29,Nemo,"movie, small, character, cartoon"
30,Olaf,"small, frozen, Disney, cartoon"
31,Pac-Man,"arcade, video game, classic, cartoon"
32,Peter Pan,"fantasy, hero, island, cartoon"
33,Piglet,"small, pig, friend, cartoon"
34,Pikachu,"Pokémon, series, character, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, cartoon"
36,Puss in boots,"Boots, animated, hero, cartoon"
37,Rapunzel,"princess, beautiful, tower, cartoon"
38,Snow White,"love, Disney, beauty, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, cartoon"
40,Spider-Man,"superhero, young, New York, cartoon"
41,SpongeBob SquarePants,"cartoon, animated, Nickelodeon, cartoon"
42,Squirtle,"Pokémon, small, blue, cartoon"
43,Thanos,"Marvel, space, villain, cartoon"
44,Thor,"hero, powerful, hammer, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, cartoon"
46,Wall-E,"film, Pixar, Robot, cartoon"
47,Winnie-the-Pooh ,"Bear, Animated, Classic, cartoon"
48,Woody,"star, character, brown, cartoon"
49,Yoda,"Star Wars, Cute, small, cartoon"
