,target,keyword
0,Ariel,"Red hair, mermaid, green tail, purple seashells, blue eyes, youthful, slender, animated, adventurous, curious"
1,Astro Boy,"Jet-powered boots, pointy hair, red boots, round eyes, blue shorts, robotic, iconic, youthful, futuristic, manga character"
2,Batman,"Cape, cowl, bat-symbol, utility belt, dark colors, muscular, boots, gloves, mask, cape"
3,Black Panther,"Vibranium suit, claws, mask, black, stealthy, agile, muscular, necklace, superhero, Wakanda."
4,Bulbasaur,"Bulbasaur, green, bulb, four-legged, dinosaur-like, blue-green, spots, plant, seedling, reptilian"
5,Buzz Lightyear,"Space suit, white armor, purple accents, green trim, space ranger, helmet, wings, laser button, Star Command logo, boots."
6,Captain America,"Shield, costume, star, blue, muscular, helmet, boots, gloves, A-symbol, wings"
7,Chun-Li,"Blue qipao, spiked bracelets, white boots, ox horns hairstyle, martial artist, Interpol officer, Street Fighter, powerful thighs, iconic character, Chinese."
8,Cinderella,"Glass slippers, ball gown, blonde hair, blue eyes, elegant, transformation, fairy godmother, pumpkin carriage, midnight, tiara"
9,Cuphead,"Cartoonish, 1930s animation, hand-drawn, vintage, rubber hose limbs, black-and-white, colorful, playful, exaggerated expressions, whimsical."
10,Donald Duck,"Sailor suit, blue hat, red bow tie, white feathers, orange bill, webbed feet, short stature, round eyes, flappy arms, iconic waddle"
11,Doraemon,"Blue, robotic cat, round face, bell, pocket, white paws, small eyes, red nose, whiskers, 4D pocket"
12,Elsa,"Elsa, blonde, braid, blue dress, ice queen, pale skin, blue eyes, snowflakes, elegant, magical"
13,Goofy,"Tall, floppy ears, anthropomorphic dog, green hat, orange turtleneck, blue pants, white gloves, large shoes, buck teeth, clumsy."
14,Groot,"Tree-like, wooden, towering, humanoid, bark-textured, branch-like limbs, leafy, sturdy, expressive eyes, gentle giant"
15,Hulk,"Green, muscular, giant, powerful, angry, massive, intimidating, torn clothes, bulky, fierce"
16,Iron Man,"Red, gold, armor, arc reactor, helmet, metallic, futuristic, sleek, robotic, powerful"
17,Judy Hopps,"Bunny, gray fur, blue eyes, police uniform, badge, ears, athletic, small, determined, tail"
18,Kirby,"Pink, round, small, cute, simple, cheerful, soft, flexible, iconic, expressive"
19,Kung Fu Panda,"Black-and-white, chubby, panda, martial artist, animated, warrior, friendly, expressive eyes, furry, bandana"
20,Lightning McQueen,"Red, race car, number 95, sleek, sporty, animated, bold decals, large wheels, confident smile, bright headlights"
21,Link,"Green tunic, Hylian Shield, Master Sword, pointed ears, elf-like, blonde hair, boots, gauntlets, cap, Triforce symbol."
22,Maleficent,"Horns, black robe, green skin, staff, raven, cheekbones, wings, dark magic, glowing eyes, mysterious"
23,Mario,"Red hat, mustache, blue overalls, white gloves, Italian plumber, red shirt, brown shoes, cheerful, iconic, Nintendo."
24,Mickey Mouse,"Mickey Mouse, cartoon, Disney, ears, gloves, red shorts, tail, cheerful, iconic, anthropomorphic"
25,Mike Wazowski,"Green, one-eyed, round, small, monster, horned, smile, animated, Pixar, cyclops"
26,Monkey D. Luffy,"Straw hat, rubber body, scar under eye, red vest, blue shorts, sandals, wide smile, black hair, muscular build, stretchable limbs"
27,Mr. Incredible,"Muscular, red, superhero, mask, strong, cape, blue, tall, heroic, broad-shouldered"
28,Naruto,"Orange jumpsuit, spiky blond hair, blue eyes, whisker marks, headband, ninja sandals, Konoha symbol, Uzumaki clan, energetic posture, fox influence."
29,Nemo,"Orange, white, stripes, small, clownfish, fins, tail, aquatic, bright, cute"
30,Olaf,"Snowman, carrot nose, twig hair, white, round eyes, smiling, three buttons, stick arms, small, cheerful."
31,Pac-Man,"Yellow, circle, arcade, maze, ghosts, pellets, fruit, joystick, 1980s, iconic"
32,Peter Pan,"Peter Pan, fairy dust, green tunic, feathered cap, flying, youthful, pointed ears, Neverland, adventurous, dagger."
33,Piglet,"Pink, small, timid, striped, soft, round, floppy ears, cute, rosy cheeks, stuffed animal"
34,Pikachu,"Yellow, electric, mouse, cheeks, tail, ears, lightning bolt, Pokémon, cute, iconic"
35,Princess Jasmine,"Jasmine, tiara, turquoise, long hair, Arabian, palace, exotic, elegant, adventurous, independent"
36,Puss in boots,"Boots, hat, cape, sword, cat, whiskers, eyes, furry, charming, adventurous"
37,Rapunzel,"Long hair, blonde, fair-skinned, youthful, slender, tall, blue eyes, rosy cheeks, elegant, enchanting"
38,Snow White,"Snow White, fair skin, black hair, red lips, innocent, apple, dwarfs, mirror, poisoned, princess"
39,Sonic The Hedgehog,"Blue, spiky, hedgehog, red shoes, speed, rings, gloves, anthropomorphic, agile, iconic"
40,Spider-Man,"Spider-Man, red and blue suit, web pattern, spider emblem, mask, wall-crawler, agile, superhero, web-slinging, athletic build"
41,SpongeBob SquarePants,"Square, yellow, porous, sponge, shorts, tie, socks, shoes, big eyes, smile"
42,Squirtle,"Blue, turtle, shell, tail, water-type, small, round, bipedal, aquatic, cute"
43,Thanos,"Purple skin, massive build, armored suit, golden gauntlet, Infinity Stones, bald head, blue eyes, intimidating presence, square jaw, Titan origin"
44,Thor,"Mjolnir, Asgardian, red cape, muscular, long hair, beard, armor, blue eyes, thunder, Norse god"
45,Tinker Bell,"Fairy, wings, green dress, blonde hair, pixie dust, small, youthful, magical, mischievous, glowing"
46,Wall-E,"robot, compact, boxy, binocular-eyes, rusty, tracks, claw-hands, expressive, small, animated"
47,Winnie-the-Pooh ,"Yellow, Red shirt, Plump, Cuddly, Round face, Fluffy, Stubby arms, Soft, Innocent eyes, Cheerful"
48,Woody,"Cowboy, hat, sheriff, badge, pull-string, boots, plaid, jeans, yellow shirt, bandana"
49,Yoda,"Green, small, wise, elderly, pointy ears, wrinkled, Jedi, robe, cane, puppet"
