,target,keyword
0,Ariel,"Red hair, mermaid, green tail, blue eyes, seashell bra, youthful, slender, pale skin, adventurous, curious, animated, Disney princess, underwater, oceanic, fins, long hair, charming, iconic, fantasy, transformation."
1,Astro Boy,"Astro Boy, robot, manga, anime, Osamu Tezuka, spiky hair, boyish, futuristic, iconic, red boots, blue shorts, white shirt, pointy ears, jet-powered, innocent, expressive eyes, superhero, Japanese, flying, enduring character"
2,Batman,"Cape, cowl, bat-symbol, utility belt, dark suit, gloves, boots, mask, muscular, imposing, stealthy, armored, gauntlets, brooding, shadowy, iconic, detective, vigilante, Gotham, heroic"
3,Black Panther,"Black suit, vibranium, claws, mask, superhero, Wakanda, agile, stealthy, muscular, necklace, feline, emblem, cape, tactical, regal, athletic, powerful, menacing, sleek, panther."
4,Bulbasaur,"Bulbasaur, green, blue, seed, bulb, quadruped, reptilian, spots, plant, dinosaur-like, leaves, fangs, claws, eyes, ears, tail, Pokémon, grass-type, iconic, starter"
5,Buzz Lightyear,"Space suit, white, green, purple, helmet, wings, laser, boots, Star Command, astronaut, action figure, infinity, bold, animated, Pixar, Toy Story, space ranger, intergalactic, emblem, futuristic."
6,Captain America,"Shield, blue, red, white, star, helmet, muscular, boots, gloves, A-symbol, wings, utility belt, cowl, stripes, vibranium, super-soldier, World War II, heroic, strong jaw, iconic."
7,Chun-Li,"Blue qipao, spiked bracelets, white boots, ox horns hairstyle, martial artist, Interpol officer, Street Fighter, Capcom, video game character, iconic thighs, Chinese, combat boots, red dress, gold earrings, powerful kicks, lightning kick, Hyakuretsukyaku, Spinning Bird Kick, strong-willed, determined."
8,Cinderella,"Glass slipper, ball gown, blonde hair, blue eyes, tiara, elegant, fairy godmother, pumpkin carriage, transformation, midnight, delicate, charming, classic, beautiful, kind-hearted, magical, iconic, enchanting, timeless, fairy tale"
9,Cuphead,"Cuphead, cartoon, 1930s, animation, run-and-gun, vintage, rubber-hose, hand-drawn, inkwell, devil, boss battles, challenging, retro, platformer, indie game, Mugman, vibrant colors, whimsical, surreal, anthropomorphic"
10,Donald Duck,"Sailor suit, blue hat, red bow tie, white feathers, orange bill, orange feet, round eyes, short stature, flappy wings, webbed feet, expressive eyebrows, chubby cheeks, iconic, cartoonish, Disney character, animated, cheerful, classic, timeless, recognizable"
11,Doraemon,"Blue, Robot, Cat, Round face, White face, Bell, Pocket, 4D Pocket, Propeller, Red nose, Large eyes, Small ears, No ears, Whiskers, Time-travel, Cartoon, Japanese, Anime, Manga, Iconic"
12,Elsa,"Elsa, Frozen, ice queen, blonde hair, blue eyes, snowflakes, ice powers, pale skin, ice dress, magic, Arendelle, braid, sparkling gown, winter, frost, elegance, Disney princess, silver tiara, light blue, regal"
13,Goofy,"Tall, floppy ears, anthropomorphic dog, green hat, orange turtleneck, blue pants, brown shoes, white gloves, long nose, clumsy, cheerful, buck teeth, cartoon, Disney character, large eyes, funny, iconic, animated, vest, slapstick."
