,target,keyword
0,Ariel,"Red hair, mermaid, seashell bikini"
1,Astro Boy,"Jet boots, spiky hair, red boots"
2,Batman,"Cape, cowl, bat-symbol"
3,Black Panther,"Vibranium suit, claws, mask"
4,Bulbasaur,"seed, dinosaur"
5,Buzz Lightyear,"Space suit, helmet, wings"
6,Captain America,"Shield, costume, muscular"
7,Chun-Li,"Blue qipao, ox-horn buns, spiked bracelets"
8,Cinderella,"Glass slippers, ball gown, blonde hair"
9,Cuphead,"Cartoonish, vintage, animated"
10,Donald Duck,"Sailor suit, blue hat, bow tie"
11,Doraemon,"Blue, robotic, cat"
12,Elsa,"Snow queen, ice powers, platinum blonde hair"
13,Goofy,"Tall, floppy ears, green hat"
14,Groot,"Tree-like, towering, wooden"
15,Hulk,"Green, muscular, giant"
16,Iron Man,"Armor, red and gold, high-tech"
17,Judy Hopps,"Bunny, police uniform, determined"
18,Kirby,"Pink, round, cute"
19,Kung Fu Panda,"Black-and-white, chubby, animated"
20,Lightning McQueen,"Red, racecar, number 95"
21,Link,"Green tunic, Hylian shield, pointy ears"
22,Maleficent,"Horns, cloak, regal"
23,Mario,"Red hat, mustache, overalls"
24,Mickey Mouse,"Red shorts, ears, gloves"
25,Mike Wazowski,"Green, one-eyed, round"
26,Monkey D. Luffy,"Straw hat, scar, rubber"
27,Mr. Incredible,"Muscular, red suit, mask"
28,Naruto,"Orange, spikey hair, headband"
29,Nemo,"Orange, white stripes, clownfish"
30,Olaf,"Snowman, carrot, white"
31,Pac-Man,"Yellow, circular, arcade"
32,Peter Pan,"Green outfit, feathered hat, youthful"
33,Piglet,"Small, pink, striped-shirt"
34,Pikachu,"Yellow, electric, mouse"
35,Princess Jasmine,"Exotic, elegant, royal"
36,Puss in boots,"Boots, cape, hat"
37,Rapunzel,"Long hair, fair-skinned, youthful"
38,Snow White,"Pale skin, black hair, red lips"
39,Sonic The Hedgehog,"Blue, spiky, speedy"
40,Spider-Man,"Red suit, web pattern, mask"
41,SpongeBob SquarePants,"Square, yellow, porous"
42,Squirtle,"Blue, turtle, shell"
43,Thanos,"Purple, muscular, gauntlet"
44,Thor,"Hammer, muscular, cape"
45,Tinker Bell,"Fairy, wings, green"
46,Wall-E,"Robot, compact, futuristic"
47,Winnie-the-Pooh ,"Yellow, rotund, red-shirted"
48,Woody,"Cowboy hat, sheriff badge, pull string"
49,Yoda,"Green, small, wise"
